"A","A","https://zh-min-nan.wiktionary.org/wiki/A"
"A-chiu","A-chiu","https://zh-min-nan.wiktionary.org/wiki/A-chiu"
"A-la-pek-gi2","A-la-pek-gi2","https://zh-min-nan.wiktionary.org/wiki/A-la-pek-gi2"
"A-la-pek-gí","A-la-pek-gí","https://zh-min-nan.wiktionary.org/wiki/A-la-pek-gí"
"A-la-pek-gú","A-la-pek-gú","https://zh-min-nan.wiktionary.org/wiki/A-la-pek-gú"
"A-la-pek_Lian5-hap8_Thau5-lang5-kok","A-la-pek Lian5-hap8 Thau5-lang5-kok","https://zh-min-nan.wiktionary.org/wiki/A-la-pek_Lian5-hap8_Thau5-lang5-kok"
"A-la-pek_Liân-ha̍p_Thâu-lâng-kok","A-la-pek Liân-ha̍p Thâu-lâng-kok","https://zh-min-nan.wiktionary.org/wiki/A-la-pek_Liân-ha̍p_Thâu-lâng-kok"
"A-la2-bia3_Lian5-hap8_Thau5-lang5-kok","A-la2-bia3 Lian5-hap8 Thau5-lang5-kok","https://zh-min-nan.wiktionary.org/wiki/A-la2-bia3_Lian5-hap8_Thau5-lang5-kok"
"A-lu-che-jiah-i7-lu3","A-lu-che-jiah-i7-lu3","https://zh-min-nan.wiktionary.org/wiki/A-lu-che-jiah-i7-lu3"
"A-lu-che-jiah-ī-lù","A-lu-che-jiah-ī-lù","https://zh-min-nan.wiktionary.org/wiki/A-lu-che-jiah-ī-lù"
"A-lu-gen-thi2-na3","A-lu-gen-thi2-na3","https://zh-min-nan.wiktionary.org/wiki/A-lu-gen-thi2-na3"
"A-lu-gen-thí-nà","A-lu-gen-thí-nà","https://zh-min-nan.wiktionary.org/wiki/A-lu-gen-thí-nà"
"A-lu-gian-thi2-na3","A-lu-gian-thi2-na3","https://zh-min-nan.wiktionary.org/wiki/A-lu-gian-thi2-na3"
"A-lu-gian-thí-nà","A-lu-gian-thí-nà","https://zh-min-nan.wiktionary.org/wiki/A-lu-gian-thí-nà"
"A-lá-bià_Liân-ha̍p_Thâu-lâng-kok","A-lá-bià Liân-ha̍p Thâu-lâng-kok","https://zh-min-nan.wiktionary.org/wiki/A-lá-bià_Liân-ha̍p_Thâu-lâng-kok"
"A-rập_TN_Ê-mi-rát","A-rập TN Ê-mi-rát","https://zh-min-nan.wiktionary.org/wiki/A-rập_TN_Ê-mi-rát"
"A-rập_thống_nhất_Ê-mi-rát","A-rập thống nhất Ê-mi-rát","https://zh-min-nan.wiktionary.org/wiki/A-rập_thống_nhất_Ê-mi-rát"
"AU","AU","https://zh-min-nan.wiktionary.org/wiki/AU"
"Ai-déc-bai-gian","Ai-déc-bai-gian","https://zh-min-nan.wiktionary.org/wiki/Ai-déc-bai-gian"
"American_black_bear","American black bear","https://zh-min-nan.wiktionary.org/wiki/American_black_bear"
"An-gò-là","An-gò-là","https://zh-min-nan.wiktionary.org/wiki/An-gò-là"
"An-thi2-goa7_kap_Bah8-bu2-ta3","An-thi2-goa7 kap Bah8-bu2-ta3","https://zh-min-nan.wiktionary.org/wiki/An-thi2-goa7_kap_Bah8-bu2-ta3"
